Make,Model,Variant,Fuel Type,Transmission,Colors Available,City,Ex-Showroom Price (INR),Channel/Segment
Hyundai,Venue,S 1.2 Kappa,Petrol,5-speed MT,"Mystic Sapphire, Hazel Blue, Titan Grey, Dragon Red, Atlas White, Titanium Black, Dual Tone",Delhi,880000,Mass
Hyundai,Venue,S(O) 1.2 Kappa,Petrol,5-speed MT,"Mystic Sapphire, Hazel Blue, Titan Grey, Dragon Red, Atlas White, Titanium Black, Dual Tone",Delhi,950000,Mass
Hyundai,Venue,S 1.0 Turbo GDi,Petrol Turbo,6-speed MT,"Mystic Sapphire, Hazel Blue, Titan Grey, Dragon Red, Atlas White, Titanium Black, Dual Tone",Delhi,1050000,Mass
Hyundai,Venue,S(O) 1.0 Turbo DCT,Petrol Turbo,7-speed DCT,"Mystic Sapphire, Hazel Blue, Titan Grey, Dragon Red, Atlas White, Titanium Black, Dual Tone",Delhi,1150000,Mass
Hyundai,Venue,SX 1.5 Diesel,Diesel,6-speed MT,"Mystic Sapphire, Hazel Blue, Titan Grey, Dragon Red, Atlas White, Titanium Black, Dual Tone",Delhi,1200000,Mass
Hyundai,Venue,SX 1.0 Turbo DCT,Petrol Turbo,7-speed DCT,"Mystic Sapphire, Hazel Blue, Titan Grey, Dragon Red, Atlas White, Titanium Black, Dual Tone",Delhi,1300000,Mass
Hyundai,Venue,SX(O) 1.5 Diesel AT,Diesel,6-speed AT,"Mystic Sapphire, Hazel Blue, Titan Grey, Dragon Red, Atlas White, Titanium Black, Dual Tone",Delhi,1500000,Mass
Hyundai,Venue,SX(O) 1.0 Turbo DCT DT,Petrol Turbo,7-speed DCT,"Dual Tone options",Delhi,1583000,Mass
Hyundai,Verna,EX 1.5 MPi,Petrol,6-speed MT,"Titanium Black, Titan Grey, Starry Night, Classy Blue, Atlas White, Topaz Brown, Dual Tone",Delhi,1099000,Premium
Hyundai,Verna,S 1.5 MPi,Petrol,6-speed MT,"Titanium Black, Titan Grey, Starry Night, Classy Blue, Atlas White, Topaz Brown, Dual Tone",Delhi,1199000,Premium
Hyundai,Verna,SX 1.5 MPi,Petrol,6-speed MT,"Titanium Black, Titan Grey, Starry Night, Classy Blue, Atlas White, Topaz Brown, Dual Tone",Delhi,1350000,Premium
Hyundai,Verna,SX IVT,Petrol,IVT,"Titanium Black, Titan Grey, Starry Night, Classy Blue, Atlas White, Topaz Brown, Dual Tone",Delhi,1450000,Premium
Hyundai,Verna,SX(O) 1.5 Turbo DCT,Petrol Turbo,7-speed DCT,"Titanium Black, Titan Grey, Starry Night, Classy Blue, Atlas White, Topaz Brown, Dual Tone",Delhi,1700000,Premium
Hyundai,Verna,SX(O) 1.5 Turbo Knight DCT,Petrol Turbo,7-speed DCT,"Titanium Black Matte, Titan Grey Matte",Delhi,1841000,Premium
Hyundai,Creta,E 1.5 Petrol,Petrol,6-speed MT,"Abyss Black, Titan Grey, Atlas White, Robust Emerald Pearl, Fiery Red, Ranger Khaki, Starry Night",Delhi,1091000,Mass
Hyundai,Creta,EX 1.5 Petrol,Petrol,6-speed MT,"Abyss Black, Titan Grey, Atlas White, Robust Emerald Pearl, Fiery Red, Ranger Khaki, Starry Night",Delhi,1200000,Mass
Hyundai,Creta,EX(O) 1.5 Petrol,Petrol,6-speed MT,"Abyss Black, Titan Grey, Atlas White, Robust Emerald Pearl, Fiery Red, Ranger Khaki, Starry Night",Delhi,1280000,Mass
Hyundai,Creta,S(O) 1.5 Petrol,Petrol,IVT,"Abyss Black, Titan Grey, Atlas White, Robust Emerald Pearl, Fiery Red, Ranger Khaki, Starry Night",Delhi,1400000,Mass
Hyundai,Creta,SX 1.5 Petrol,Petrol,IVT,"Abyss Black, Titan Grey, Atlas White, Robust Emerald Pearl, Fiery Red, Ranger Khaki, Starry Night, Dual Tone",Delhi,1550000,Mass
Hyundai,Creta,SX 1.5 Diesel,Diesel,6-speed MT,"Abyss Black, Titan Grey, Atlas White, Robust Emerald Pearl, Fiery Red, Ranger Khaki, Starry Night, Dual Tone",Delhi,1500000,Mass
Hyundai,Creta,SX 1.5 Diesel AT,Diesel,6-speed AT,"Abyss Black, Titan Grey, Atlas White, Robust Emerald Pearl, Fiery Red, Ranger Khaki, Starry Night, Dual Tone",Delhi,1650000,Mass
Hyundai,Creta,SX 1.5 Turbo DCT,Petrol Turbo,7-speed DCT,"Abyss Black, Titan Grey, Atlas White, Robust Emerald Pearl, Fiery Red, Ranger Khaki, Starry Night, Dual Tone",Delhi,1700000,Mass
Hyundai,Creta,Knight 1.5 Turbo DCT,Petrol Turbo,7-speed DCT,"Titanium Black Matte, Titan Grey Matte",Delhi,1850000,Mass
Hyundai,Creta,Knight 1.5 Diesel AT,Diesel,6-speed AT,"Titanium Black Matte, Titan Grey Matte",Delhi,1900000,Mass
Hyundai,Creta,King Knight 1.5 Diesel AT,Diesel,6-speed AT,"Titanium Black Matte, Titan Grey Matte, Starry Night",Delhi,2011000,Mass
Hyundai,Alcazar,Executive 1.5 Turbo,Petrol Turbo,6-speed MT,"Abyss Black, Titan Grey, Starry Night, Atlas White, Robust Emerald Pearl",Delhi,1451000,Premium
Hyundai,Alcazar,Prestige 1.5 Turbo,Petrol Turbo,6-speed MT,"Abyss Black, Titan Grey, Starry Night, Atlas White, Robust Emerald Pearl",Delhi,1600000,Premium
Hyundai,Alcazar,Prestige 1.5 Turbo DCT,Petrol Turbo,7-speed DCT,"Abyss Black, Titan Grey, Starry Night, Atlas White, Robust Emerald Pearl",Delhi,1750000,Premium
Hyundai,Alcazar,Platinum 1.5 Diesel AT,Diesel,6-speed AT,"Abyss Black, Titan Grey, Starry Night, Atlas White, Robust Emerald Pearl, Dual Tone",Delhi,2000000,Premium
Hyundai,Alcazar,Signature 1.5 Diesel AT,Diesel,6-speed AT,"Abyss Black, Titan Grey, Starry Night, Atlas White, Robust Emerald Pearl, Dual Tone",Delhi,2125000,Premium
Hyundai,Tucson,Advance 2.0 Petrol AT,Petrol,6-speed AT,"Titan Grey, Abyss Black, Atlas White, Fiery Red",Delhi,2732000,Premium
Hyundai,Tucson,Signature 2.0 Diesel AT,Diesel,8-speed AT,"Titan Grey, Abyss Black, Atlas White, Fiery Red",Delhi,3200000,Premium
Hyundai,Tucson,Platinum 2.0 Diesel AT AWD,Diesel,8-speed AT,"Titan Grey, Abyss Black, Atlas White, Fiery Red",Delhi,3364000,Premium
Hyundai,IONIQ 5,Standard Range RWD,Electric,Single-speed,"Gravity Gold Matte, Optic White, Digital Teal Pearl, Midnight Black Pearl, Shooting Star Matte",Delhi,4470000,EV
Hyundai,IONIQ 5,Long Range RWD,Electric,Single-speed,"Gravity Gold Matte, Optic White, Digital Teal Pearl, Midnight Black Pearl, Shooting Star Matte",Delhi,4920000,EV
Hyundai,IONIQ 5,Long Range AWD,Electric,Single-speed,"Gravity Gold Matte, Optic White, Digital Teal Pearl, Midnight Black Pearl, Shooting Star Matte",Delhi,5570000,EV
Honda,Amaze 2nd Gen,V MT,Petrol,5-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,599000,Mass
Honda,Amaze 2nd Gen,V CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,650000,Mass
Honda,Amaze 2nd Gen,VX MT,Petrol,5-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,700000,Mass
Honda,Amaze 2nd Gen,VX CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,750000,Mass
Honda,Amaze,V MT,Petrol,5-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,760000,Mass
Honda,Amaze,V CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,830000,Mass
Honda,Amaze,VX MT,Petrol,5-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,870000,Mass
Honda,Amaze,VX CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,920000,Mass
Honda,Amaze,ZX CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,1000000,Mass
Honda,City,V MT,Petrol,6-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Lunar Silver",Delhi,1200000,Premium
Honda,City,V CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Lunar Silver",Delhi,1300000,Premium
Honda,City,VX MT,Petrol,6-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Lunar Silver",Delhi,1400000,Premium
Honda,City,VX CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Lunar Silver",Delhi,1500000,Premium
Honda,City,ZX MT,Petrol,6-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Lunar Silver",Delhi,1600000,Premium
Honda,City,ZX CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Lunar Silver",Delhi,1715000,Premium
Honda,City,e:HEV ZX,Hybrid,eCVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Lunar Silver",Delhi,2100000,Premium
Honda,Elevate,SV MT,Petrol,6-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,1181000,Mass
Honda,Elevate,SV CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,1280000,Mass
Honda,Elevate,V MT,Petrol,6-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,1350000,Mass
Honda,Elevate,VX MT,Petrol,6-speed MT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,1450000,Mass
Honda,Elevate,VX CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,1550000,Mass
Honda,Elevate,ZX CVT,Petrol,CVT,"Radiant Red, Meteoroid Grey, Platinum White Pearl, Golden Brown, Obsidian Blue Pearl, Lunar Silver",Delhi,1698000,Mass
Honda,ZR-V,e:HEV RS,Hybrid,eCVT,"Crystal Black Pearl, Platinum White Pearl, Meteoroid Grey",Delhi,4799000,Premium
Maruti Suzuki,Alto K10,Std,Petrol,5-speed MT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue",Delhi,389000,Arena
Maruti Suzuki,Alto K10,LXi,Petrol,5-speed MT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue",Delhi,449000,Arena
Maruti Suzuki,Alto K10,VXi,Petrol,5-speed MT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue",Delhi,498000,Arena
Maruti Suzuki,Alto K10,VXi+,Petrol,5-speed MT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue",Delhi,525000,Arena
Maruti Suzuki,Alto K10,VXi AGS,Petrol,AGS/AMT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue",Delhi,548000,Arena
Maruti Suzuki,Alto K10,VXi+ AGS,Petrol,AGS/AMT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue",Delhi,575000,Arena
Maruti Suzuki,S-Presso,Std,Petrol,5-speed MT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue, Pearl Starry Blue",Delhi,350000,Arena
Maruti Suzuki,S-Presso,LXi,Petrol,5-speed MT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue, Pearl Starry Blue",Delhi,420000,Arena
Maruti Suzuki,S-Presso,VXi,Petrol,5-speed MT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue, Pearl Starry Blue",Delhi,480000,Arena
Maruti Suzuki,S-Presso,VXi+ AGS,Petrol,AGS/AMT,"Solid White, Silky Silver, Granite Grey, Sizzling Red, Speedy Blue, Pearl Starry Blue",Delhi,525000,Arena
Maruti Suzuki,WagonR,LXi 1.0,Petrol,5-speed MT,"Silky Silver, Magma Grey, Solid White, Pearl Arctic White, Nutmeg Brown, Poolside Blue",Delhi,499000,Arena
Maruti Suzuki,WagonR,VXi 1.0,Petrol,5-speed MT,"Silky Silver, Magma Grey, Solid White, Pearl Arctic White, Nutmeg Brown, Poolside Blue",Delhi,555000,Arena
Maruti Suzuki,WagonR,VXi 1.0 AGS,Petrol,AGS/AMT,"Silky Silver, Magma Grey, Solid White, Pearl Arctic White, Nutmeg Brown, Poolside Blue",Delhi,600000,Arena
Maruti Suzuki,WagonR,VXi 1.2,Petrol,5-speed MT,"Silky Silver, Magma Grey, Solid White, Pearl Arctic White, Nutmeg Brown, Poolside Blue",Delhi,580000,Arena
Maruti Suzuki,WagonR,ZXi 1.2,Petrol,5-speed MT,"Silky Silver, Magma Grey, Solid White, Pearl Arctic White, Nutmeg Brown, Poolside Blue",Delhi,620000,Arena
Maruti Suzuki,WagonR,ZXi 1.2 AGS,Petrol,AGS/AMT,"Silky Silver, Magma Grey, Solid White, Pearl Arctic White, Nutmeg Brown, Poolside Blue",Delhi,680000,Arena
Maruti Suzuki,WagonR,ZXi+ 1.2 AGS,Petrol,AGS/AMT,"Silky Silver, Magma Grey, Solid White, Pearl Arctic White, Nutmeg Brown, Poolside Blue",Delhi,720000,Arena
Maruti Suzuki,WagonR,LXi CNG,Petrol+CNG,5-speed MT,"Silky Silver, Solid White",Delhi,620000,Arena
Maruti Suzuki,Swift,LXi,Petrol,5-speed MT,"Pearl Arctic White, Solid Fire Red, Sizzling Red, Luster Blue, Magma Grey, Midnight Blue",Delhi,579000,Arena
Maruti Suzuki,Swift,VXi,Petrol,5-speed MT,"Pearl Arctic White, Solid Fire Red, Sizzling Red, Luster Blue, Magma Grey, Midnight Blue",Delhi,650000,Arena
Maruti Suzuki,Swift,VXi AGS,Petrol,AGS/AMT,"Pearl Arctic White, Solid Fire Red, Sizzling Red, Luster Blue, Magma Grey, Midnight Blue",Delhi,710000,Arena
Maruti Suzuki,Swift,ZXi,Petrol,5-speed MT,"Pearl Arctic White, Solid Fire Red, Sizzling Red, Luster Blue, Magma Grey, Midnight Blue, Dual Tone",Delhi,760000,Arena
Maruti Suzuki,Swift,ZXi AGS,Petrol,AGS/AMT,"Pearl Arctic White, Solid Fire Red, Sizzling Red, Luster Blue, Magma Grey, Midnight Blue, Dual Tone",Delhi,810000,Arena
Maruti Suzuki,Swift,ZXi+ AGS,Petrol,AGS/AMT,"Pearl Arctic White, Solid Fire Red, Sizzling Red, Luster Blue, Magma Grey, Midnight Blue, Dual Tone",Delhi,880000,Arena
Maruti Suzuki,Dzire,LXi,Petrol,5-speed MT,"Oxford Blue, Magma Grey, Alluring Red, Sherwood Brown, Silky Silver, Pearl Arctic White",Delhi,626000,Arena
Maruti Suzuki,Dzire,VXi,Petrol,5-speed MT,"Oxford Blue, Magma Grey, Alluring Red, Sherwood Brown, Silky Silver, Pearl Arctic White",Delhi,700000,Arena
Maruti Suzuki,Dzire,VXi AGS,Petrol,AGS/AMT,"Oxford Blue, Magma Grey, Alluring Red, Sherwood Brown, Silky Silver, Pearl Arctic White",Delhi,750000,Arena
Maruti Suzuki,Dzire,ZXi,Petrol,5-speed MT,"Oxford Blue, Magma Grey, Alluring Red, Sherwood Brown, Silky Silver, Pearl Arctic White",Delhi,820000,Arena
Maruti Suzuki,Dzire,ZXi AGS,Petrol,AGS/AMT,"Oxford Blue, Magma Grey, Alluring Red, Sherwood Brown, Silky Silver, Pearl Arctic White",Delhi,870000,Arena
Maruti Suzuki,Dzire,ZXi+ AGS,Petrol,AGS/AMT,"Oxford Blue, Magma Grey, Alluring Red, Sherwood Brown, Silky Silver, Pearl Arctic White",Delhi,931000,Arena
Maruti Suzuki,Brezza,LXi,Petrol,5-speed MT,"Brave Khaki, Sizzling Red, Magma Grey, Pearl Arctic White, Splendid Silver, Exuberant Blue",Delhi,826000,Arena
Maruti Suzuki,Brezza,VXi,Petrol,5-speed MT,"Brave Khaki, Sizzling Red, Magma Grey, Pearl Arctic White, Splendid Silver, Exuberant Blue",Delhi,920000,Arena
Maruti Suzuki,Brezza,VXi AT,Petrol,6-speed AT,"Brave Khaki, Sizzling Red, Magma Grey, Pearl Arctic White, Splendid Silver, Exuberant Blue",Delhi,1000000,Arena
Maruti Suzuki,Brezza,ZXi,Petrol,5-speed MT,"Brave Khaki, Sizzling Red, Magma Grey, Pearl Arctic White, Splendid Silver, Exuberant Blue, Dual Tone",Delhi,1060000,Arena
Maruti Suzuki,Brezza,ZXi AT,Petrol,6-speed AT,"Brave Khaki, Sizzling Red, Magma Grey, Pearl Arctic White, Splendid Silver, Exuberant Blue, Dual Tone",Delhi,1140000,Arena
Maruti Suzuki,Brezza,ZXi+ AT,Petrol,6-speed AT,"Brave Khaki, Sizzling Red, Magma Grey, Pearl Arctic White, Splendid Silver, Exuberant Blue, Dual Tone",Delhi,1301000,Arena
Maruti Suzuki,Brezza,ZXi CNG,Petrol+CNG,5-speed MT,"Pearl Arctic White, Splendid Silver",Delhi,1100000,Arena
Maruti Suzuki,Ertiga,LXi,Petrol,5-speed MT,"Pearl Arctic White, Silky Silver, Magma Grey, Brave Khaki, Splendid Silver, Auburn Red",Delhi,880000,Arena
Maruti Suzuki,Ertiga,VXi,Petrol,5-speed MT,"Pearl Arctic White, Silky Silver, Magma Grey, Brave Khaki, Splendid Silver, Auburn Red",Delhi,960000,Arena
Maruti Suzuki,Ertiga,VXi AT,Petrol,6-speed AT,"Pearl Arctic White, Silky Silver, Magma Grey, Brave Khaki, Splendid Silver, Auburn Red",Delhi,1050000,Arena
Maruti Suzuki,Ertiga,ZXi,Petrol,5-speed MT,"Pearl Arctic White, Silky Silver, Magma Grey, Brave Khaki, Splendid Silver, Auburn Red",Delhi,1100000,Arena
Maruti Suzuki,Ertiga,ZXi AT,Petrol,6-speed AT,"Pearl Arctic White, Silky Silver, Magma Grey, Brave Khaki, Splendid Silver, Auburn Red",Delhi,1180000,Arena
Maruti Suzuki,Ertiga,ZXi+ AT,Petrol,6-speed AT,"Pearl Arctic White, Silky Silver, Magma Grey, Brave Khaki, Splendid Silver, Auburn Red",Delhi,1294000,Arena
Maruti Suzuki,Ertiga,VXi CNG,Petrol+CNG,5-speed MT,"Pearl Arctic White, Silky Silver",Delhi,1050000,Arena
Maruti Suzuki,Baleno,Sigma,Petrol,5-speed MT,"Nexa Blue, Arctic White, Grandeur Grey, Luxe Beige, Opulent Red, Splendid Silver",Delhi,599000,Nexa
Maruti Suzuki,Baleno,Delta,Petrol,5-speed MT,"Nexa Blue, Arctic White, Grandeur Grey, Luxe Beige, Opulent Red, Splendid Silver",Delhi,680000,Nexa
Maruti Suzuki,Baleno,Delta AGS,Petrol,AGS/AMT,"Nexa Blue, Arctic White, Grandeur Grey, Luxe Beige, Opulent Red, Splendid Silver",Delhi,730000,Nexa
Maruti Suzuki,Baleno,Zeta,Petrol,5-speed MT,"Nexa Blue, Arctic White, Grandeur Grey, Luxe Beige, Opulent Red, Splendid Silver",Delhi,780000,Nexa
Maruti Suzuki,Baleno,Zeta AGS,Petrol,AGS/AMT,"Nexa Blue, Arctic White, Grandeur Grey, Luxe Beige, Opulent Red, Splendid Silver",Delhi,830000,Nexa
Maruti Suzuki,Baleno,Alpha,Petrol,5-speed MT,"Nexa Blue, Arctic White, Grandeur Grey, Luxe Beige, Opulent Red, Splendid Silver, Dual Tone",Delhi,890000,Nexa
Maruti Suzuki,Baleno,Alpha AGS,Petrol,AGS/AMT,"Nexa Blue, Arctic White, Grandeur Grey, Luxe Beige, Opulent Red, Splendid Silver, Dual Tone",Delhi,940000,Nexa
Maruti Suzuki,Fronx,Sigma,Petrol,5-speed MT,"Nexa Blue, Arctic White, Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver",Delhi,685000,Nexa
Maruti Suzuki,Fronx,Delta,Petrol,5-speed MT,"Nexa Blue, Arctic White, Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver",Delhi,780000,Nexa
Maruti Suzuki,Fronx,Delta+ AGS,Petrol,AGS/AMT,"Nexa Blue, Arctic White, Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver",Delhi,860000,Nexa
Maruti Suzuki,Fronx,Zeta Turbo,Petrol Turbo,6-speed AT,"Nexa Blue, Arctic White, Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver, Dual Tone",Delhi,980000,Nexa
Maruti Suzuki,Fronx,Alpha Turbo,Petrol Turbo,6-speed AT,"Nexa Blue, Arctic White, Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver, Dual Tone",Delhi,1100000,Nexa
Maruti Suzuki,Fronx,Alpha+ Turbo,Petrol Turbo,6-speed AT,"Nexa Blue, Arctic White, Grandeur Grey, Earthen Brown, Opulent Red, Splendid Silver, Dual Tone",Delhi,1198000,Nexa
Maruti Suzuki,Grand Vitara,Sigma 1.5 MT,Petrol,5-speed MT,"Arctic White, Grandeur Grey, Splendid Silver, Nexa Blue, Chestnut Brown, Celestial Blue, Dual Tone",Delhi,1077000,Nexa
Maruti Suzuki,Grand Vitara,Delta 1.5 MT,Petrol,5-speed MT,"Arctic White, Grandeur Grey, Splendid Silver, Nexa Blue, Chestnut Brown, Celestial Blue, Dual Tone",Delhi,1175000,Nexa
Maruti Suzuki,Grand Vitara,Zeta 1.5 MT,Petrol,5-speed MT,"Arctic White, Grandeur Grey, Splendid Silver, Nexa Blue, Chestnut Brown, Celestial Blue, Dual Tone",Delhi,1320000,Nexa
Maruti Suzuki,Grand Vitara,Zeta+ 1.5 AT,Petrol,6-speed AT,"Arctic White, Grandeur Grey, Splendid Silver, Nexa Blue, Chestnut Brown, Celestial Blue, Dual Tone",Delhi,1450000,Nexa
